,title,score_reaction,rating,votes
1135,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,0.9430379746835443,4.8,461
2505,Chuunibyou Demo Koi ga Shitai!: Kirameki no... Slapstick Noe,0.9325842696629213,4.8,442
2317,Black Lagoon: The Second Barrage,0.8809523809523809,4.8,432
2720,Steins;Gate: Oukoubakko no Poriomania,0.9166666666666666,4.8,387
2557,Death Billiards,0.9239130434782609,4.8,335
2403,Kono Sekai no Katasumi ni,0.8291139240506329,4.8,304
2930,Rurouni Kenshin Tsuiokuhen,0.8,4.8,267
1504,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,0.9451038575667656,4.8,256
353,Non Non Biyori: Okinawa e Ikukoto ni Natta,0.94,4.8,226
88,Yumeiro Patissiere SP Professional,0.987012987012987,4.8,154
2694,Recorder to Randoseru Re♪,0.7959183673469388,4.8,107
